datetime,station,allowed,moved,queued
2022-11-28T05:00:00.0,Metro_AlAziziyah,6,6,0
2022-11-28T05:00:00.0,Metro_AlBiddaConcourse,32,32,0
2022-11-28T05:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-28T05:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-28T05:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T05:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T05:00:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-28T05:00:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-28T05:00:00.0,Metro_AlDohaAlJadeda,7,7,0
2022-11-28T05:00:00.0,Metro_AlMansoura,5,5,0
2022-11-28T05:00:00.0,Metro_AlMatarAlQadeem,16,16,0
2022-11-28T05:00:00.0,Metro_AlMessila,1,1,0
2022-11-28T05:00:00.0,Metro_AlQassar,56,56,89
2022-11-28T05:00:00.0,Metro_AlRayyanAlQadeem,0,0,0
2022-11-28T05:00:00.0,Metro_AlRiffa,2,2,0
2022-11-28T05:00:00.0,Metro_AlSadd,4,4,0
2022-11-28T05:00:00.0,Metro_AlShaqab,0,0,0
2022-11-28T05:00:00.0,Metro_AlSudan,2,2,0
2022-11-28T05:00:00.0,Metro_AlWaabQLM,0,0,0
2022-11-28T05:00:00.0,Metro_AlWakra,32,32,0
2022-11-28T05:00:00.0,Metro_BinMahmoud,4,4,0
2022-11-28T05:00:00.0,Metro_Corniche,0,0,0
2022-11-28T05:00:00.0,Metro_DECC,2,2,81
2022-11-28T05:00:00.0,Metro_EducationCity,8,8,0
2022-11-28T05:00:00.0,Metro_FreeZone,3,3,0
2022-11-28T05:00:00.0,Metro_HamadHospital,1,1,0
2022-11-28T05:00:00.0,Metro_HamadIntlAirportT1,28,28,0
2022-11-28T05:00:00.0,Metro_Joaan,5,5,0
2022-11-28T05:00:00.0,Metro_Katara,0,0,92
2022-11-28T05:00:00.0,Metro_Legtaifiya,56,56,89
2022-11-28T05:00:00.0,Metro_Lusail,151,151,83
2022-11-28T05:00:00.0,Metro_MsheirebConcourse,5,5,0
2022-11-28T05:00:00.0,Metro_MsheirebGoldPlatformEastBound,0,0,0
2022-11-28T05:00:00.0,Metro_MsheirebGoldPlatformWestBound,0,0,0
2022-11-28T05:00:00.0,Metro_MsheirebRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T05:00:00.0,Metro_MsheirebRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T05:00:00.0,Metro_NationalMuseum,3,3,0
2022-11-28T05:00:00.0,Metro_OqbaIbnNafie,1,1,0
2022-11-28T05:00:00.0,Metro_QatarNationalLibrary,2,2,0
2022-11-28T05:00:00.0,Metro_QatarUniversity,95,95,86
2022-11-28T05:00:00.0,Metro_RasBuAbboud,0,0,0
2022-11-28T05:00:00.0,Metro_RasBuFontas,0,0,0
2022-11-28T05:00:00.0,Metro_SouqWaqif,37,37,0
2022-11-28T05:00:00.0,Metro_SportCity,1,1,0
2022-11-28T05:00:00.0,Metro_TheWhitePalace,1,1,0
2022-11-28T05:00:00.0,Metro_UmmGhuwailina,1,1,0
2022-11-28T05:00:00.0,Metro_WestBay,52,52,86
2022-11-28T05:30:00.0,Metro_AlAziziyah,0,0,0
2022-11-28T05:30:00.0,Metro_AlBiddaConcourse,0,0,0
2022-11-28T05:30:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-28T05:30:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-28T05:30:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T05:30:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T05:30:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-28T05:30:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-28T05:30:00.0,Metro_AlDohaAlJadeda,0,0,0
2022-11-28T05:30:00.0,Metro_AlMansoura,0,0,0
2022-11-28T05:30:00.0,Metro_AlMatarAlQadeem,0,0,0
2022-11-28T05:30:00.0,Metro_AlMessila,0,0,0
2022-11-28T05:30:00.0,Metro_AlQassar,3,3,0
2022-11-28T05:30:00.0,Metro_AlRayyanAlQadeem,0,0,0
2022-11-28T05:30:00.0,Metro_AlRiffa,0,0,0
2022-11-28T05:30:00.0,Metro_AlSadd,0,0,0
2022-11-28T05:30:00.0,Metro_AlShaqab,0,0,0
2022-11-28T05:30:00.0,Metro_AlSudan,0,0,0
2022-11-28T05:30:00.0,Metro_AlWaabQLM,0,0,0
2022-11-28T05:30:00.0,Metro_AlWakra,0,0,0
2022-11-28T05:30:00.0,Metro_BinMahmoud,0,0,0
2022-11-28T05:30:00.0,Metro_Corniche,0,0,0
2022-11-28T05:30:00.0,Metro_DECC,3,3,0
2022-11-28T05:30:00.0,Metro_EducationCity,0,0,0
2022-11-28T05:30:00.0,Metro_FreeZone,0,0,0
2022-11-28T05:30:00.0,Metro_HamadHospital,0,0,0
2022-11-28T05:30:00.0,Metro_HamadIntlAirportT1,0,0,0
2022-11-28T05:30:00.0,Metro_Joaan,0,0,0
2022-11-28T05:30:00.0,Metro_Katara,3,3,0
2022-11-28T05:30:00.0,Metro_Legtaifiya,3,3,0
2022-11-28T05:30:00.0,Metro_Lusail,3,3,0
2022-11-28T05:30:00.0,Metro_MsheirebConcourse,0,0,0
2022-11-28T05:30:00.0,Metro_MsheirebGoldPlatformEastBound,0,0,0
2022-11-28T05:30:00.0,Metro_MsheirebGoldPlatformWestBound,0,0,0
2022-11-28T05:30:00.0,Metro_MsheirebRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T05:30:00.0,Metro_MsheirebRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T05:30:00.0,Metro_NationalMuseum,0,0,0
2022-11-28T05:30:00.0,Metro_OqbaIbnNafie,0,0,0
2022-11-28T05:30:00.0,Metro_QatarNationalLibrary,0,0,0
2022-11-28T05:30:00.0,Metro_QatarUniversity,3,3,0
2022-11-28T05:30:00.0,Metro_RasBuAbboud,0,0,0
2022-11-28T05:30:00.0,Metro_RasBuFontas,0,0,0
2022-11-28T05:30:00.0,Metro_SouqWaqif,0,0,0
2022-11-28T05:30:00.0,Metro_SportCity,0,0,0
2022-11-28T05:30:00.0,Metro_TheWhitePalace,0,0,0
2022-11-28T05:30:00.0,Metro_UmmGhuwailina,0,0,0
2022-11-28T05:30:00.0,Metro_WestBay,3,3,0
2022-11-28T06:00:00.0,Metro_AlAziziyah,0,0,0
2022-11-28T06:00:00.0,Metro_AlBiddaConcourse,0,0,1
2022-11-28T06:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-28T06:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-28T06:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T06:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
