datetime,station,allowed,moved,queued
2022-11-27T05:00:00.0,Metro_AlAziziyah,15,15,0
2022-11-27T05:00:00.0,Metro_AlBiddaConcourse,46,46,0
2022-11-27T05:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlDohaAlJadeda,13,13,0
2022-11-27T05:00:00.0,Metro_AlMansoura,9,9,0
2022-11-27T05:00:00.0,Metro_AlMatarAlQadeem,24,24,0
2022-11-27T05:00:00.0,Metro_AlMessila,3,3,0
2022-11-27T05:00:00.0,Metro_AlQassar,44,44,0
2022-11-27T05:00:00.0,Metro_AlRayyanAlQadeem,1,1,0
2022-11-27T05:00:00.0,Metro_AlRiffa,3,3,0
2022-11-27T05:00:00.0,Metro_AlSadd,6,6,0
2022-11-27T05:00:00.0,Metro_AlShaqab,0,0,0
2022-11-27T05:00:00.0,Metro_AlSudan,5,5,0
2022-11-27T05:00:00.0,Metro_AlWaabQLM,0,0,0
2022-11-27T05:00:00.0,Metro_AlWakra,49,49,0
2022-11-27T05:00:00.0,Metro_BinMahmoud,21,21,0
2022-11-27T05:00:00.0,Metro_Corniche,0,0,0
2022-11-27T05:00:00.0,Metro_DECC,14,14,0
2022-11-27T05:00:00.0,Metro_EducationCity,17,17,0
2022-11-27T05:00:00.0,Metro_FreeZone,6,6,0
2022-11-27T05:00:00.0,Metro_HamadHospital,2,2,0
2022-11-27T05:00:00.0,Metro_HamadIntlAirportT1,43,43,0
2022-11-27T05:00:00.0,Metro_Joaan,9,9,1
2022-11-27T05:00:00.0,Metro_Katara,1,1,0
2022-11-27T05:00:00.0,Metro_Legtaifiya,16,16,0
2022-11-27T05:00:00.0,Metro_Lusail,9,9,0
2022-11-27T05:00:00.0,Metro_MsheirebConcourse,9,9,0
2022-11-27T05:00:00.0,Metro_MsheirebGoldPlatformEastBound,0,0,0
2022-11-27T05:00:00.0,Metro_MsheirebGoldPlatformWestBound,0,0,0
2022-11-27T05:00:00.0,Metro_MsheirebRedAndGreenPlatformNorthBound,0,0,0
2022-11-27T05:00:00.0,Metro_MsheirebRedAndGreenPlatformSouthBound,0,0,0
2022-11-27T05:00:00.0,Metro_NationalMuseum,8,8,0
2022-11-27T05:00:00.0,Metro_OqbaIbnNafie,3,3,0
2022-11-27T05:00:00.0,Metro_QatarNationalLibrary,5,5,0
2022-11-27T05:00:00.0,Metro_QatarUniversity,38,38,0
2022-11-27T05:00:00.0,Metro_RasBuAbboud,2,2,0
2022-11-27T05:00:00.0,Metro_RasBuFontas,1,1,0
2022-11-27T05:00:00.0,Metro_SouqWaqif,77,77,0
2022-11-27T05:00:00.0,Metro_SportCity,3,3,0
2022-11-27T05:00:00.0,Metro_TheWhitePalace,2,2,0
2022-11-27T05:00:00.0,Metro_UmmGhuwailina,2,2,0
2022-11-27T05:00:00.0,Metro_WestBay,92,92,0
2022-11-27T06:00:00.0,Metro_AlAziziyah,0,0,1
2022-11-27T06:00:00.0,Metro_AlBiddaConcourse,0,0,0
2022-11-27T06:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-27T06:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-27T06:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-27T06:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-27T06:00:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-27T06:00:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-27T06:00:00.0,Metro_AlDohaAlJadeda,0,0,0
2022-11-27T06:00:00.0,Metro_AlMansoura,0,0,0
2022-11-27T06:00:00.0,Metro_AlMatarAlQadeem,7,7,0
2022-11-27T06:00:00.0,Metro_AlMessila,0,0,0
2022-11-27T06:00:00.0,Metro_AlQassar,0,0,3
