datetime,station,allowed,moved,queued
2022-11-27T05:00:00.0,Metro_AlAziziyah,9,9,0
2022-11-27T05:00:00.0,Metro_AlBiddaConcourse,35,35,0
2022-11-27T05:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-27T05:00:00.0,Metro_AlDohaAlJadeda,8,8,0
2022-11-27T05:00:00.0,Metro_AlMansoura,7,7,0
2022-11-27T05:00:00.0,Metro_AlMatarAlQadeem,21,21,0
2022-11-27T05:00:00.0,Metro_AlMessila,2,2,0
2022-11-27T05:00:00.0,Metro_AlQassar,32,32,0
2022-11-27T05:00:00.0,Metro_AlRayyanAlQadeem,1,1,0
2022-11-27T05:00:00.0,Metro_AlRiffa,2,2,0
2022-11-27T05:00:00.0,Metro_AlSadd,5,5,0
2022-11-27T05:00:00.0,Metro_AlShaqab,0,0,0
2022-11-27T05:00:00.0,Metro_AlSudan,3,3,0
2022-11-27T05:00:00.0,Metro_AlWaabQLM,0,0,3
2022-11-27T05:00:00.0,Metro_AlWakra,35,35,0
2022-11-27T05:00:00.0,Metro_BinMahmoud,6,6,0
2022-11-27T05:00:00.0,Metro_Corniche,0,0,0
2022-11-27T05:00:00.0,Metro_DECC,10,10,0
2022-11-27T05:00:00.0,Metro_EducationCity,13,13,0
2022-11-27T05:00:00.0,Metro_FreeZone,4,4,0
2022-11-27T05:00:00.0,Metro_HamadHospital,2,2,0
2022-11-27T05:00:00.0,Metro_HamadIntlAirportT1,33,33,0
2022-11-27T05:00:00.0,Metro_Joaan,6,6,0
2022-11-27T05:00:00.0,Metro_Katara,1,1,0
2022-11-27T05:00:00.0,Metro_Legtaifiya,10,10,0
2022-11-27T05:00:00.0,Metro_Lusail,5,5,0
2022-11-27T05:00:00.0,Metro_MsheirebConcourse,7,7,0
2022-11-27T05:00:00.0,Metro_MsheirebGoldPlatformEastBound,0,0,0
2022-11-27T05:00:00.0,Metro_MsheirebGoldPlatformWestBound,0,0,0
2022-11-27T05:00:00.0,Metro_MsheirebRedAndGreenPlatformNorthBound,0,0,0
2022-11-27T05:00:00.0,Metro_MsheirebRedAndGreenPlatformSouthBound,0,0,0
